hardware,framework,model,quant,task_id,n,ttft_p50,e2e_p50,e2e_p95,e2e_mean,e2e_stdev,output_chars_mean,unique_hashes,profile,hw_ntd_per_hour,power_ntd_per_hour,overhead_ntd_per_hour,total_ntd_per_hour,ntd_per_task_total,ntd_per_task_hw_only
h200-nvl,llamacpp,mistral-small-3.2-24b,Q4_K_M,ddx_en,5,0.025326745817437768,2.099217663053423,2.116351548349485,2.1036247851327063,0.008607128017085797,911.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02364,0.01997
h200-nvl,llamacpp,mistral-small-3.2-24b,Q4_K_M,drug_zh,5,0.02410054998472333,1.9276934838853776,1.930496966233477,1.9269536266103386,0.0028161441067677097,242.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02171,0.01834
h200-nvl,llamacpp,mistral-small-3.2-24b,Q4_K_M,icd_zh,5,0.023327759001404047,0.47276169480755925,0.473545711254701,0.4724836881738156,0.0009867392478059038,43.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00532,0.0045
h200-nvl,llamacpp,mistral-small-3.2-24b,Q4_K_M,soap_en,5,0.026053055888041854,2.1521825490053743,2.155223380820826,2.1521600894629955,0.0031031706311255547,850.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02424,0.02047
h200-nvl,llamacpp,phi-4,Q4_K_M,ddx_en,5,0.012458076002076268,1.6672416869550943,1.6705281260423361,1.6670700107701122,0.0025820214843318983,937.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01878,0.01586
h200-nvl,llamacpp,phi-4,Q4_K_M,drug_zh,5,0.015338925179094076,3.2356871070805937,3.3695591806434093,3.28131214925088,0.06801705136725524,451.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.03644,0.03078
h200-nvl,llamacpp,phi-4,Q4_K_M,icd_zh,5,0.01146093592979014,0.8035324201919138,0.8055410277564079,0.8024342185351998,0.0035843596222056556,93.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00905,0.00764
h200-nvl,llamacpp,phi-4,Q4_K_M,soap_en,5,0.015210622921586037,2.4458995638415217,2.4523923139553516,2.4419123417697848,0.00995357485878015,1383.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02755,0.02327
h200-nvl,llamacpp,qwen3-next-80b-a3b,Q4_K_M,ddx_en,5,0.04061080701649189,1.6518171839416027,1.671569489594549,1.6558768476359547,0.010372433773738692,1072.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.0186,0.01571
h200-nvl,llamacpp,qwen3-next-80b-a3b,Q4_K_M,drug_zh,5,0.042932925978675485,1.5005601891316473,1.5872445406857878,1.5193941602483392,0.044751456748296635,311.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.0169,0.01427
h200-nvl,llamacpp,qwen3-next-80b-a3b,Q4_K_M,icd_zh,5,0.038939933059737086,0.6494262169580907,0.6512380567379296,0.6494952442124486,0.0015331626403138582,88.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00731,0.00618
h200-nvl,llamacpp,qwen3-next-80b-a3b,Q4_K_M,soap_en,5,0.0398639808408916,1.7016042838804424,1.706363490689546,1.7015663673169912,0.0035522593266043346,943.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01917,0.01619
h200-nvl,llamacpp,qwen3.6-35b-a3b,Q4_K_M,ddx_en,5,0.10442966083064675,1.4474125339183956,1.4509386904537678,1.4476646023336799,0.0027662390868303166,944.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.0163,0.01377
h200-nvl,llamacpp,qwen3.6-35b-a3b,Q4_K_M,drug_zh,5,0.09243901702575386,1.6791191280353814,1.6974197844043375,1.6833717032335698,0.009516427624078802,426.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01891,0.01597
h200-nvl,llamacpp,qwen3.6-35b-a3b,Q4_K_M,icd_zh,5,0.0912903908174485,0.5681793780531734,0.5706683811731637,0.5688034169841558,0.0014799930193997444,83.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.0064,0.00541
h200-nvl,llamacpp,qwen3.6-35b-a3b,Q4_K_M,soap_en,5,0.11292392201721668,2.0784434899687767,2.0836463646031915,2.0782245830167083,0.004257700952802447,1384.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02341,0.01977
macmini-m4-32gb,rapidmlx,mlx-community/Mistral-Small-3.2-24B-Instruct-2506-4bit,4bit-mlx,ddx_en,5,0.440660166030284,38.67806466697948,38.92714880818967,38.62511119981063,0.2518773463943863,886.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.04061,0.03965
macmini-m4-32gb,rapidmlx,mlx-community/Mistral-Small-3.2-24B-Instruct-2506-4bit,4bit-mlx,drug_zh,5,0.5475547089590691,39.905107375001535,40.61787132518366,39.85900568340439,0.6699416277646073,271.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.0419,0.0409
macmini-m4-32gb,rapidmlx,mlx-community/Mistral-Small-3.2-24B-Instruct-2506-4bit,4bit-mlx,icd_zh,5,0.4486420000321232,9.359303042001557,9.531081708811689,9.343712783406954,0.1381326361725378,53.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.00983,0.00959
macmini-m4-32gb,rapidmlx,mlx-community/Mistral-Small-3.2-24B-Instruct-2506-4bit,4bit-mlx,soap_en,5,0.46012741600861773,46.388816874998156,46.77585950042121,46.33181375021813,0.37150617951573317,984.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.04871,0.04755
macmini-m4-32gb,rapidmlx,mlx-community/gemma-4-26b-a4b-it-4bit,4bit-mlx,ddx_en,5,0.2657466249947902,9.303020999999717,9.578882708010497,9.316060533199925,0.1935233837398366,937.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.00977,0.00954
macmini-m4-32gb,rapidmlx,mlx-community/gemma-4-26b-a4b-it-4bit,4bit-mlx,drug_zh,5,0.25325508299283683,7.014762667007744,7.322269558795961,7.063572841801215,0.1768718029049609,276.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.00737,0.00719
macmini-m4-32gb,rapidmlx,mlx-community/gemma-4-26b-a4b-it-4bit,4bit-mlx,icd_zh,5,0.24126041698036715,3.1957021249982063,3.2786905501969157,3.2131285831914282,0.0599544952222933,81.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.00336,0.00328
macmini-m4-32gb,rapidmlx,mlx-community/gemma-4-26b-a4b-it-4bit,4bit-mlx,soap_en,5,0.19280049999360926,9.979629209003178,10.05592594940681,9.975529416801873,0.06833413014209823,912.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.01048,0.01023
macmini-m4-32gb,rapidmlx,mlx-community/phi-4-4bit,4bit-mlx,ddx_en,5,0.32859112502774224,20.09734204201959,20.113027975009754,20.09611462522298,0.013607265702544597,724.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.0211,0.0206
macmini-m4-32gb,rapidmlx,mlx-community/phi-4-4bit,4bit-mlx,drug_zh,5,0.35120112501317635,49.876302334014326,50.4569478413905,49.98712470841129,0.3069406445541101,442.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.05237,0.05112
macmini-m4-32gb,rapidmlx,mlx-community/phi-4-4bit,4bit-mlx,icd_zh,5,0.32549704099074006,12.35348150000209,13.438180200383067,12.620832541794517,0.5344891711550734,89.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.01297,0.01266
macmini-m4-32gb,rapidmlx,mlx-community/phi-4-4bit,4bit-mlx,soap_en,5,0.35884350002743304,43.16807733295718,43.58814046680927,43.20121385838138,0.2836823708694263,1631.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.04533,0.04425
macmini-m4-32gb,rapidmlx,qwen3.6-35b,4bit-mlx,ddx_en,5,0.459176792006474,8.101744084007805,8.984707499993965,8.335775466996711,0.42048708241642324,899.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.00851,0.0083
macmini-m4-32gb,rapidmlx,qwen3.6-35b,4bit-mlx,drug_zh,5,0.44967070798156783,6.493841957999393,7.071002324990696,6.5996385997976175,0.31865087115079693,218.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.00682,0.00666
macmini-m4-32gb,rapidmlx,qwen3.6-35b,4bit-mlx,icd_zh,5,0.30437966700992547,1.5953977500030305,2.132319550588727,1.575765025196597,0.46657010021031475,18.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.00168,0.00164
macmini-m4-32gb,rapidmlx,qwen3.6-35b,4bit-mlx,soap_en,5,0.34875108301639557,11.484675124986097,11.87947350779432,11.449104074802017,0.3212760700319978,1357.0,1,macmini-m4-32gb,3.69,0.09,0.0,3.78,0.01206,0.01177
